country,PC1,PC2
Afghanistan,-2.913024587396588,0.09562057550550981
Albania,0.4299113299319379,-0.5881556664216976
Algeria,-0.2852250773700542,-0.4551744133397664
Angola,-2.9324226542292737,1.6955550705215483
Antigua and Barbuda,1.0335758664708323,0.13665870884235215
Argentina,0.02240726157374394,-1.7791865758294876
Armenia,-0.10158373658107425,-0.5682517238414149
Australia,2.342164609685882,-1.9884591539619936
Austria,2.973763664204305,-0.7346886586078296
Azerbaijan,-0.18148699731199278,-0.40286587348363545
Bahamas,1.2687438639868234,-0.6565883632526908
Bahrain,1.6709963959114875,0.561162492538497
Bangladesh,-1.123850934504572,-0.9613974045352932
Barbados,1.0813741969947281,-0.4819695301363478
Belarus,0.5800251522399515,0.5353268339800497
Belgium,3.1437859612631383,0.6635479207509858
Belize,0.21125544693609757,0.699242662341723
Benin,-2.672313879357945,0.418172124579009
Bhutan,-0.1565709622345522,0.777395617295997
Bolivia,-0.7938515610201611,-0.12026108495343815
Bosnia and Herzegovina,0.9958671428099946,-0.9718884391705793
Botswana,-0.8820876389925554,0.45736818032562665
Brazil,0.14078136091759866,-2.1510773058294346
Brunei,2.4600860882799935,0.01645404364593536
Bulgaria,0.9065945150342394,0.03027760544523892
Burkina Faso,-3.1220534364091437,0.038774968791839746
Burundi,-2.898970679302678,-0.42266332787881455
Cambodia,-0.5824118671980263,0.8948203322738496
Cameroon,-2.8079085749024095,0.07864889686740419
Canada,2.54363055000637,-1.7270946979437087
Cape Verde,-0.15580145212391838,0.3512354576145585
Central African Republic,-3.9649640194894413,0.3866193194206682
Chad,-3.5575552027002764,1.2891280920966866
Chile,0.9516560554273625,-1.0764282701637695
China,0.057481980327566726,-1.189996519829345
Colombia,0.1211461196510693,-1.7689091360987832
Comoros,-2.0935564308403025,0.3436009878116031
"Congo, Dem. Rep.",-3.1733701154043685,1.0503816332379659
"Congo, Rep.",-1.7256764076372646,2.1763489504338653
Costa Rica,0.9378266149945533,-1.3504723760959658
Cote d'Ivoire,-2.5817062329578673,1.2078734222116316
Croatia,1.14886343594432,-0.8448120464284747
Cyprus,2.1744549200988774,-0.004510447367102454
Czech Republic,2.0532632868341683,0.42319827997206216
Denmark,3.010491821376777,-0.8655487291060796
Dominican Republic,-0.23110292277446673,-0.8806413020766547
Ecuador,0.009618332404326198,-1.0452209670773602
Egypt,-0.8481866985512956,-0.8198189017563542
El Salvador,0.08186784453623097,-0.5678039433428753
Equatorial Guinea,-1.2934228376741683,2.3636945517207626
Eritrea,-2.474695897621835,-0.6180252364945534
Estonia,1.6590833964277019,1.0215644729461177
Fiji,-0.1888284090725143,1.0717645827004343
Finland,2.4589601917945205,-1.076142936930975
France,2.2542707953098278,-1.8666381291670775
Gabon,-1.4217145532419786,0.3197233583730018
Gambia,-2.2136695827033828,0.22349589624451727
Georgia,0.3219422066451584,-0.5182552248417761
Germany,2.671421951847692,-1.2736099005828228
Ghana,-2.05416692951679,0.3800343931886966
Greece,1.7794929410031528,-1.7653969323374885
Grenada,0.1455047992657875,-0.43133636632317457
Guatemala,-0.6635031249243224,-0.6139108370318461
Guinea,-2.969529473372042,0.7285337855948659
Guinea-Bissau,-2.8336164728613262,-0.09112819501299986
Guyana,-0.3227814648557311,1.3613413588025745
Haiti,-4.409717274974026,1.7422304851976311
Hungary,1.8391601264895328,1.27296492669684
Iceland,2.480923956777536,-0.634701925905402
India,-1.3428257947703697,-0.535138945752703
Indonesia,-0.9547501236855884,-0.7323617864118164
Iran,-0.0010646119252022096,-1.334349594888409
Iraq,-1.0292281606558114,-0.28326932294249907
Ireland,3.668628044515044,1.729493168937827
Israel,1.485316658889606,-1.049224363712358
Italy,2.1658099505088533,-1.7724854795157496
Jamaica,0.018609300222762016,-0.2389613042912798
Japan,2.265881986853446,-2.4355938335820575
Jordan,0.16014264327314687,0.5410651720875442
Kazakhstan,-0.2933464997103712,-0.23752543410728316
Kenya,-1.8747024727806496,-0.17102996726554368
Kiribati,-1.2392168622446311,0.3691384109440419
Kuwait,2.4656587034837174,0.08804977845740118
Kyrgyz Republic,-0.33996988019490554,1.29819641202873
Lao,-1.527769946030269,0.5457868911492444
Latvia,1.1888398448812432,0.16204003453331553
Lebanon,1.1719907605412034,-0.25629511214232076
Lesotho,-1.8031513987910854,2.0378509792633666
Liberia,-1.7735802317176617,1.0533986657263867
Libya,0.8189430506398383,0.3898416599453696
Lithuania,1.409788123454305,0.7298331976042459
Luxembourg,6.917754960193378,4.849843686160694
"Macedonia, FYR",0.7332103191064097,-0.09486743144697642
Madagascar,-2.136008673805889,0.3427330416914553
Malawi,-2.9798852527902917,0.21662241913399133
Malaysia,1.2308284212408374,1.6017486351199075
Maldives,1.1086010069884467,1.0093142609302532
